municipio,Robo,score_riesgo
Sitalá,3,6
Amatán,3,6
Santa Cruz Mixtepec,3,6
Mixtla de Altamirano,3,6
Mexticacán,3,6
Santa Inés Yatzeche,3,6
Susticacán,3,6
Xayacatlán de Bravo,3,6
Apazapan,3,6
Cochoapa el Grande,3,6
San Juan Mixtepec Distrito 26,3,6
Santos Reyes Nopala,3,6
San Simón Almolongas,3,6
Villa Unión,3,6
San Baltazar Chichicápam,3,6
La Misión,2,4
Zoquiapan,2,4
San Martín Itunyoso,2,4
Yahualica,2,4
Guazapares,2,4
Calnali,2,4
Xichú,2,4
San Pedro Huilotepec,2,4
Trinidad Zaachila,2,4
San Luis Amatlán,2,4
Amixtlán,2,4
San Miguel de Horcasitas,2,4
Xochiltepec,2,4
Santiago Jocotepec,2,4
Nauzontla,2,4
Totoltepec de Guerrero,2,4
Xochicoatlán,2,4
San Miguel del Puerto,2,4
Xochiatipan,2,4
Marqués de Comillas,2,4
Zacapala,2,4
Santa Cruz Papalutla,2,4
Huehuetlán,2,4
Zapotitlán Palmas,2,4
Zapotitlán de Méndez,2,4
Villa Pesqueira,2,4
Santa Catarina Yosonotú,2,4
Villa Tejúpam de la Unión,2,4
San Lorenzo,2,4
Atlahuilco,2,4
Santa María Chilchotla,2,4
Huatlatlauca,2,4
Ayotzintepec,2,4
Nácori Chico,2,4
Zacazonapan,2,4
General Canuto A. Neri,2,4
San Juan del Estado,2,4
Tumbiscatío,2,4
Unión Juárez,2,4
Santa María la Asunción,2,4
Atarjea,2,4
Acula,2,4
Santiago Ayuquililla,2,4
Santa Cruz Itundujia,2,4
Santa Ana Tlapacoyan,2,4
Pisaflores,2,4
San Lucas Quiaviní,2,4
Otzoloapan,2,4
Mochitlán,2,4
San Miguel Suchixtepec,2,4
Bolaños,2,4
San Miguel el Grande,2,4
San Miguel Tlacotepec,2,4
San Juan Lachao,2,4
San José Tenango,2,4
San Dionisio Ocotlán,2,4
Jaltocán,2,4
Santiago Yaitepec,2,4
Ixcamilpa de Guerrero,2,4
San José Independencia,2,4
Chalcatongo de Hidalgo,2,4
Tlalchapa,2,4
Cosoltepec,2,4
Escobedo,2,4
San Martín Toxpalan,2,4
San Juan Cancuc,2,4
Sunuapa,2,4
Tixkokob,2,4
San Felipe Tepatlán,2,4
Tlacoapa,2,4
Soyopa,2,4
Santiago Yosondúa,2,4
Tlachichilco,2,4
Silacayoápam,2,4
San Felipe de Jesús,2,4
San Juan Ozolotepec,2,4
Santiago el Pinar,2,4
San Felipe Usila,2,4
San Francisco de Conchos,2,4
Jonotla,2,4
El Salvador,2,4
Tenabo,2,4
Chínipas,2,4
San Martín de los Cansecos,2,4
Sierra Mojada,2,4
San Jerónimo Silacayoapilla,2,4
Seybaplaya,2,4
San Javier,2,4
San Bernardo Mixtepec,2,4
La Compañía,2,4
Sáric,2,4
San Martín de Bolaños,2,4
Santo Domingo Chihuitán,2,4
Reforma de Pineda,2,4
San Andrés Tenejapan,2,4
San Sebastián Nicananduta,2,4
Tampacán,2,4
San José del Progreso,2,4
Caxhuacan,2,4
Santiago Tenango,2,4
Santiago Textitlán,2,4
Tepango de Rodríguez,2,4
Santiago Tlazoyaltepec,2,4
Santo Domingo Tepuxtepec,2,4
San Bartolomé Quialana,2,4
Huachinera,2,4
Mier y Noriega,1,2
Concepción Pápalo,1,2
San Pablo Coatlán,1,2
San Esteban Atatlahuca,1,2
Santa Cruz Tacache de Mina,1,2
La Magdalena Tlatlauquitepec,1,2
San Diego la Mesa Tochimiltzingo,1,2
Teotongo,1,2
Eloxochitlán de Flores Magón,1,2
Sitio de Xitlapehua,1,2
Santa Inés Ahuatempan,1,2
Osumacinta,1,2
Coatecas Altas,1,2
El Tule,1,2
Xochiapulco,1,2
San Juan Bautista Lo de Soto,1,2
Mitontic,1,2
San Sebastián Río Hondo,1,2
Teotitlán del Valle,1,2
Santa Cruz Zenzontepec,1,2
Xochistlahuaca,1,2
Apaxtla,1,2
San Pablo Anicano,1,2
Moris,1,2
Yogana,1,2
Tatatila,1,2
San Nicolás,1,2
San Francisco Sola,1,2
San Martín Totoltepec,1,2
Santa Ana del Valle,1,2
San Martín Huamelúlpam,1,2
San Sebastián Abasolo,1,2
Cuautempan,1,2
Homún,1,2
San Jorge Nuchita,1,2
Tenampa,1,2
San Martín Lachilá,1,2
San Ildefonso Amatlán,1,2
Cuayuca de Andrade,1,2
San Ildefonso Villa Alta,1,2
San Jerónimo Coatlán,1,2
San Martín Peras,1,2
Del Nayar,1,2
San Vicente Coatlán,1,2
Santa Catarina Ixtepeji,1,2
Nonoava,1,2
Huitiupán,1,2
Tehuipango,1,2
San Juan Atzompa,1,2
Constancia del Rosario,1,2
Huehuetla,1,2
Hermenegildo Galeana,1,2
Santa Cruz,1,2
San Miguel Tilquiápam,1,2
Ixpantepec Nieves,1,2
Temax,1,2
Iturbide,1,2
Huitzilan de Serdán,1,2
Albino Zertuche,1,2
Zapotitlán Lagunas,1,2
Tekantó,1,2
Santa Catarina Mechoacán,1,2
Ixil,1,2
Santa Catarina Lachatao,1,2
Alaquines,1,2
San Mateo Etlatongo,1,2
Santa Lucía Monteverde,1,2
Arivechi,1,2
Santiago Camotlán,1,2
Pluma Hidalgo,1,2
Chalchihuitán,1,2
San Agustín Atenango,1,2
San Pedro Tidaá,1,2
San Agustín Loxicha,1,2
Santiago Yaveo,1,2
San Pedro Topiltepec,1,2
Pinotepa de Don Luis,1,2
Magdalena Peñasco,1,2
Magdalena Teitipac,1,2
Bejucal de Ocampo,1,2
Tzucacab,1,2
Batopilas de Manuel Gómez Morín,1,2
Chapultenango,1,2
Magdalena Tlacotepec,1,2
San Sebastián Teitipac,1,2
San Andrés Dinicuiti,1,2
Bacanora,1,2
Peto,1,2
San Agustín Amatengo,1,2
Los Herreras,1,2
Chemax,1,2
Río Lagartos,1,2
San Juan Yucuita,1,2
San Pedro Mixtepec Distrito 26,1,2
Santiago Nundiche,1,2
San Pedro Mártir,1,2
San Jerónimo Taviche,1,2
San Juan Yaeé,1,2
Topia,1,2
San Juan Teposcolula,1,2
Calihualá,1,2
Totolapa,1,2
San Pedro Mártir Yucuxaco,1,2
Huejotitán,1,2
La Trinidad Vista Hermosa,1,2
Santiago Tilantongo,1,2
José Joaquín de Herrera,1,2
Santiago Ihuitlán Plumas,1,2
Santiago Comaltepec,1,2
Burgos,1,2
San Juan Sayultepec,1,2
Valerio Trujano,1,2
Santa María Yolotepec,1,2
Guadalupe de Ramírez,1,2
Texcatepec,1,2
Santo Tomás Jalieza,1,2
San Lorenzo Albarradas,1,2
Santo Tomás Mazaltepec,1,2
San Baltazar Loxicha,1,2
Atlamajalcingo del Monte,1,2
San Bartolo Soyaltepec,1,2
Matachí,1,2
Santa María Alotepec,1,2
San Lorenzo Texmelúcan,1,2
San Bartolo Yautepec,1,2
Chocholá,1,2
San Miguel Amatitlán,1,2
San Bartolomé Yucuañe,1,2
Asunción Tlacolulita,1,2
San Miguel Tenango,1,2
Mazatlán Villa de Flores,1,2
Chumatlán,1,2
Asunción Cuyotepeji,1,2
San Pedro y San Pablo Tequixtepec,1,2
San Antonio Huitepec,1,2
Santa María Guelacé,1,2
San Andrés Ixtlahuaca,1,2
San Pablo Macuiltianguis,1,2
Santo Domingo Albarradas,1,2
San Juan Ñumí,1,2
Huépac,1,2
Chichimilá,1,2
Santa María Tlahuitoltepec,1,2
Mainero,1,2
Santa María Teopoxco,1,2
Manuel Benavides,1,2
Santo Domingo Ingenio,1,2
Santo Domingo Nuxaá,1,2
San Andrés Zabache,1,2
Francisco León,1,2
Santa María Guienagati,1,2
Santo Domingo Tlatayápam,1,2
San Miguel Ejutla,1,2
San Miguel Panixtlahuaca,1,2
Chigmecatitlán,1,2
Chila de la Sal,1,2
Texhuacán,1,2
San Jerónimo Tecóatl,1,2
